date,sendung,prozent,frames,res,url
2018-12-13,hjo,0%,1737FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181213_sendung_hjo/1/181213_sendung_hjo_776k_p11v14.mp4
2018-12-13,tth,0%,1995FNANA,1/1,http://media.tagesschau.de/video/2018/1213/TV-20181213-2257-4201.h264.mp4
2018-12-14,h19,0%,1213FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181214_sendung_h19/2/181214_sendung_h19_776k_p11v14.mp4
2018-12-14,t20,0%,913FNANA,1/1,http://media.tagesschau.de/video/2018/1214/TV-20181214-2026-1701.h264.mp4
2018-12-14,tth,0%,901FNANA,1/1,http://media.tagesschau.de/video/2018/1214/TV-20181214-2204-2101.h264.mp4
2018-12-14,hjo,0%,1913FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181214_sendung_hjo/1/181214_sendung_hjo_776k_p11v14.mp4
2018-12-15,h19,0%,1225FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181215_sendung_h19/1/181215_sendung_h19_776k_p11v14.mp4
2018-12-15,t20,13.2%,624F121T,1/1,http://media.tagesschau.de/video/2018/1215/TV-20181215-2026-2801.h264.mp4
2018-12-15,hjo,0%,927FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181215_sendung_hjo/1/181215_sendung_hjo_776k_p11v14.mp4
2018-12-15,tth,12.2%,821F82T,1/1,http://media.tagesschau.de/video/2018/1216/TV-20181216-0003-4001.h264.mp4
2018-12-16,h19,0%,588FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181216_sendung_h19/1/181216_sendung_h19_776k_p11v14.mp4
2018-12-16,t20,6.4%,764F61T,1/1,http://media.tagesschau.de/video/2018/1216/TV-20181216-2024-4001.h264.mp4
2018-12-16,hjo,0%,927FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181216_sendung_hjo/1/181216_sendung_hjo_776k_p11v14.mp4
2018-12-16,tth,24.8%,664F152T,1/1,http://media.tagesschau.de/video/2018/1216/TV-20181216-2348-5301.h264.mp4
2018-12-17,h19,8.8%,27F10T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181217_sendung_h19/1/181217_sendung_h19_776k_p11v14.mp4
2018-12-17,t20,0%,922FNANA,1/1,http://media.tagesschau.de/video/2018/1217/TV-20181217-2020-3201.h264.mp4
2018-12-17,hjo,0.2%,1345F4T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181217_sendung_hjo/1/181217_sendung_hjo_776k_p11v14.mp4
2018-12-17,tth,0%,1773FNANA,1/1,http://media.tagesschau.de/video/2018/1217/TV-20181217-2306-2001.h264.mp4
2018-12-18,h19,5.7%,28F11T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181218_sendung_h19/1/181218_sendung_h19_776k_p11v14.mp4
2018-12-18,t20,0%,918FNANA,1/1,http://media.tagesschau.de/video/2018/1218/TV-20181218-2023-3001.h264.mp4
2018-12-18,hjo,0%,1765FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181218_sendung_hjo/1/181218_sendung_hjo_776k_p11v14.mp4
2018-12-18,tth,0%,1777FNANA,1/1,http://media.tagesschau.de/video/2018/1218/TV-20181218-2255-1001.h264.mp4
2018-12-19,h19,0%,1139FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181219_sendung_h19/1/181219_sendung_h19_776k_p11v14.mp4
2018-12-19,t20,0%,928FNANA,1/1,http://media.tagesschau.de/video/2018/1219/TV-20181219-2025-4401.h264.mp4
2018-12-19,hjo,0%,1754FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181219_sendung_hjo/1/181219_sendung_hjo_776k_p11v14.mp4
2018-12-19,tth,0%,1790FNANA,1/1,http://media.tagesschau.de/video/2018/1219/TV-20181219-2254-0901.h264.mp4
2018-12-20,h19,3.3%,1091F41T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181220_sendung_h19/1/181220_sendung_h19_776k_p11v14.mp4
2018-12-20,t20,0%,915FNANA,1/1,http://media.tagesschau.de/video/2018/1220/TV-20181220-2021-2401.h264.mp4
2018-12-20,hjo,0%,1760FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181220_sendung_hjo/1/181220_sendung_hjo_776k_p11v14.mp4
2018-12-20,tth,0%,1854FNANA,1/1,http://media.tagesschau.de/video/2018/1220/TV-20181220-2255-3301.h264.mp4
2018-12-21,h19,0%,1135FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181221_sendung_h19/1/181221_sendung_h19_776k_p11v14.mp4
2018-12-21,t20,0%,941FNANA,1/1,http://media.tagesschau.de/video/2018/1221/TV-20181221-2020-0301.h264.mp4
2018-12-21,hjo,0%,616FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181221_sendung_hjo/1/181221_sendung_hjo_776k_p11v14.mp4
2018-12-21,tth,0%,1000FNANA,1/1,http://media.tagesschau.de/video/2018/1221/TV-20181221-2346-3001.h264.mp4
2018-12-22,h19,0%,1130FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181222_sendung_h19/1/181222_sendung_h19_776k_p11v14.mp4
2018-12-22,t20,12.5%,638F116T,1/1,http://media.tagesschau.de/video/2018/1222/TV-20181222-2020-4001.h264.mp4
2018-12-22,hjo,0%,944FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181222_sendung_hjo/1/181222_sendung_hjo_776k_p11v14.mp4
2018-12-22,tth,15.7%,741F188T,1/1,http://media.tagesschau.de/video/2018/1222/TV-20181222-2350-0701.h264.mp4
2018-12-23,h19,0%,859FNANA,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181223_sendung_h19/1/181223_sendung_h19_776k_p11v14.mp4
2018-12-23,t20,6.7%,693F62T,1/1,http://media.tagesschau.de/video/2018/1223/TV-20181223-2020-2701.h264.mp4
2018-12-23,hjo,3.1%,941F11T,1/1,https://downloadzdf-a.akamaihd.net/mp4/zdf/18/12/181223_sendung_hjo/1/181223_sendung_hjo_776k_p11v14.mp4
